date,sales,unit_purchase_cost,fixed_order_cost,,,holding_cost_rate,shortage_cost,,2025,
1/1/2022,23,51.61,148.27,,,0.14,20,,Naïve ,19590
1/2/2022,23,50.79,131.15,,,,,,Purchase Cost,46.11702186
1/3/2022,26,55.28,174.23,,,,,,Fixed Cost,161.2112842
1/4/2022,26,63.54,147.18,,,,,,,
1/5/2022,16,49.26,124.77,,,,,,Order Quantity,1138
1/6/2022,14,52.45,117.73,,,,,,,
1/7/2022,16,63.2,182.55,,,,,,COST OF PLANNED BACK ORDERS,677.7349787
1/8/2022,21,56.53,153.33,,,,,,Cost or Ordering,2775.157343
1/9/2022,15,47.19,172.64,,,,,,Inventory Cost,2099.426172
1/10/2022,19,47.29,146.7,,,,,,Total Cost,5552.318494
1/11/2022,22,60.23,207.35,,,,,,,
1/12/2022,25,47.98,207.91,,,,,,A,20
1/13/2022,20,44.78,120.13,,,,,,B,277.7161151
1/14/2022,22,60.38,157.49,,,,,,,
1/15/2022,21,60.8,179,,,,,,,
1/16/2022,20,46.74,156.52,,,,,,,
1/17/2022,20,49.05,191.4,,,,,,,
1/18/2022,24,51.94,153.59,,,,,,,
1/19/2022,25,62.51,203.77,,,,,,,
1/20/2022,23,57.52,139.75,,,,,,,
1/21/2022,20,62.66,139.48,,,,,,,
1/22/2022,17,57.02,127.85,,,,,,,
1/23/2022,17,57.41,202.74,,,,,,,
1/24/2022,20,58.77,123.11,,,,,,,
1/25/2022,15,57.24,198.51,,,,,,,
1/26/2022,26,57.34,158.19,,,,,,,
1/27/2022,22,54.85,188.74,,,,,,,
1/28/2022,15,52.69,114.46,,,,,,,
1/29/2022,22,47.71,163.28,,,,,,,
1/30/2022,21,62.72,120.71,,,,,,,
1/31/2022,25,54.69,203.39,,,,,,,
2/1/2022,27,50.92,148.89,,,,,,,
2/2/2022,26,62.87,200.34,,,,,,,
2/3/2022,20,48.18,169.08,,,,,,,
2/4/2022,15,51.84,171.71,,,,,,,
2/5/2022,26,44.76,153.8,,,,,,,
2/6/2022,23,54.7,148.46,,,,,,,
2/7/2022,21,44.29,186.48,,,,,,,
2/8/2022,19,49.31,183.57,,,,,,,
2/9/2022,24,55.03,118.63,,,,,,,
2/10/2022,15,62.2,134.03,,,,,,,
2/11/2022,19,57.75,118.5,,,,,,,
2/12/2022,15,54.94,149.38,,,,,,,
2/13/2022,19,58.44,120.88,,,,,,,
2/14/2022,21,46.15,207.65,,,,,,,
2/15/2022,27,44.52,178.49,,,,,,,
2/16/2022,24,56.41,169.26,,,,,,,
2/17/2022,16,47.72,120.55,,,,,,,
2/18/2022,18,54.05,174.33,,,,,,,
2/19/2022,24,60.23,135.83,,,,,,,
2/20/2022,19,60.41,201.06,,,,,,,
2/21/2022,21,48.2,140.1,,,,,,,
2/22/2022,17,50.51,147.21,,,,,,,
2/23/2022,24,63.07,148.96,,,,,,,
2/24/2022,26,48.91,148.24,,,,,,,
2/25/2022,18,62.85,180.96,,,,,,,
2/26/2022,21,52.13,198.72,,,,,,,
2/27/2022,16,46.01,130.71,,,,,,,
2/28/2022,19,58.85,140.7,,,,,,,
3/1/2022,16,52.22,122.52,,,,,,,
3/2/2022,28,52.15,180.65,,,,,,,
3/3/2022,17,48.59,140.18,,,,,,,
3/4/2022,23,51.2,133.93,,,,,,,
3/5/2022,27,57.82,195.72,,,,,,,
3/6/2022,16,49.95,145.85,,,,,,,
3/7/2022,18,47.45,183.23,,,,,,,
3/8/2022,23,50.27,190.85,,,,,,,
3/9/2022,24,58.46,148.62,,,,,,,
3/10/2022,16,59.57,114.95,,,,,,,
3/11/2022,17,58.57,146.91,,,,,,,
3/12/2022,19,59.26,171.76,,,,,,,
3/13/2022,20,47.8,195.38,,,,,,,
3/14/2022,26,62.04,157.34,,,,,,,
3/15/2022,22,61.89,130.54,,,,,,,
3/16/2022,28,57.86,162.68,,,,,,,
3/17/2022,17,60.61,202.23,,,,,,,
3/18/2022,19,55.08,133.37,,,,,,,
3/19/2022,24,54.23,208.77,,,,,,,
3/20/2022,18,57.94,172.33,,,,,,,
3/21/2022,22,60.97,171.2,,,,,,,
3/22/2022,28,61.95,211.07,,,,,,,
3/23/2022,28,50.98,134.34,,,,,,,
3/24/2022,27,55.75,192.07,,,,,,,
3/25/2022,25,53.17,189.6,,,,,,,
3/26/2022,21,61.73,142.9,,,,,,,
3/27/2022,21,59.83,141.27,,,,,,,
3/28/2022,26,52.48,195.48,,,,,,,
3/29/2022,19,53.56,146.14,,,,,,,
3/30/2022,23,62.48,193.4,,,,,,,
3/31/2022,17,62.72,168.04,,,,,,,
4/1/2022,19,51.14,210.89,,,,,,,
4/2/2022,25,51.98,194.48,,,,,,,
4/3/2022,20,62.17,121.82,,,,,,,
4/4/2022,20,61.82,160.69,,,,,,,
4/5/2022,19,62.99,186.74,,,,,,,
4/6/2022,27,45.51,178.38,,,,,,,
4/7/2022,20,59.61,186.96,,,,,,,
4/8/2022,25,53.52,178.49,,,,,,,
4/9/2022,22,50.33,146.45,,,,,,,
4/10/2022,19,44.82,175.79,,,,,,,
4/11/2022,30,59.81,132,,,,,,,
4/12/2022,18,43.89,164.18,,,,,,,
4/13/2022,24,56.55,113.59,,,,,,,
4/14/2022,20,45.66,196.21,,,,,,,
4/15/2022,19,49.73,149.96,,,,,,,
4/16/2022,20,59.89,172.12,,,,,,,
4/17/2022,23,59.38,160.88,,,,,,,
4/18/2022,28,55.45,173.78,,,,,,,
4/19/2022,21,48.98,155.9,,,,,,,
4/20/2022,29,55.71,198.24,,,,,,,
4/21/2022,25,50.11,171.37,,,,,,,
4/22/2022,28,59.58,162.63,,,,,,,
4/23/2022,25,48.37,187.9,,,,,,,
4/24/2022,19,59.11,146.33,,,,,,,
4/25/2022,27,45.43,168.71,,,,,,,
4/26/2022,29,57.4,158.29,,,,,,,
4/27/2022,21,56.33,205.61,,,,,,,
4/28/2022,19,48.85,126.54,,,,,,,
4/29/2022,24,55.55,116.08,,,,,,,
4/30/2022,20,45.14,113.24,,,,,,,
5/1/2022,21,62.73,149.32,,,,,,,
5/2/2022,21,48.15,180.54,,,,,,,
5/3/2022,29,61.09,164.55,,,,,,,
5/4/2022,21,54,200.58,,,,,,,
5/5/2022,29,44.19,172.33,,,,,,,
5/6/2022,26,62.49,168.4,,,,,,,
5/7/2022,20,55.4,182.04,,,,,,,
5/8/2022,24,59.6,148.43,,,,,,,
5/9/2022,22,43.6,209.85,,,,,,,
5/10/2022,27,54.88,162.25,,,,,,,
5/11/2022,26,50.57,164.4,,,,,,,
5/12/2022,26,59.63,186.53,,,,,,,
5/13/2022,19,52.27,144.4,,,,,,,
5/14/2022,28,51.52,179.99,,,,,,,
5/15/2022,30,50.24,207.29,,,,,,,
5/16/2022,31,53.5,155.2,,,,,,,
5/17/2022,19,60.22,149.9,,,,,,,
5/18/2022,28,54.41,126.8,,,,,,,
5/19/2022,22,53.91,140.4,,,,,,,
5/20/2022,20,45.47,165.37,,,,,,,
5/21/2022,22,55.85,173.72,,,,,,,
5/22/2022,24,60.1,164.51,,,,,,,
5/23/2022,25,56.72,130.99,,,,,,,
5/24/2022,18,49.77,130.01,,,,,,,
5/25/2022,24,60.9,114.99,,,,,,,
5/26/2022,31,52.61,189.69,,,,,,,
5/27/2022,29,47.6,192.58,,,,,,,
5/28/2022,26,46.08,176.09,,,,,,,
5/29/2022,30,57.03,199.88,,,,,,,
5/30/2022,24,53.92,190.49,,,,,,,
5/31/2022,23,52.25,184.81,,,,,,,
6/1/2022,27,57.23,146.98,,,,,,,
6/2/2022,28,48.35,172.12,,,,,,,
6/3/2022,26,58.45,202.92,,,,,,,
6/4/2022,19,43.79,171.25,,,,,,,
6/5/2022,27,60.89,158.63,,,,,,,
